序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,22,WanVideoModelLoader,Wan2_1-FLF2V-14B-720P_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1-I2V-14B-720P_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1-I2V-14B-720P_fp8_e4m3fn.safetensors,
2,22,WanVideoModelLoader,Wan2_1-I2V-14B-480P_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1-I2V-14B-480P_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1-I2V-14B-480P_fp8_e4m3fn.safetensors,
3,22,WanVideoModelLoader,Wan2_1-SkyReels-V2-DF-1_3B-540P_fp32.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/tree/main/Skyreels,https://hf-mirror.com/Kijai/WanVideo_comfy/tree/main/Skyreels,
4,22,WanVideoModelLoader,Wan2_1-T2V-14B_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1-T2V-14B_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1-T2V-14B_fp8_e4m3fn.safetensors,
5,22,WanVideoModelLoader,Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors,
6,38,WanVideoVAELoader,Wan2_1_VAE_bf16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1_VAE_bf16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1_VAE_bf16.safetensors,
7,22,WanVideoModelLoader,Wan2_1_kwai_recammaster_1_3B_step20000_bf16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1_kwai_recammaster_1_3B_step20000_bf16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1_kwai_recammaster_1_3B_step20000_bf16.safetensors,
8,59,CLIPVisionLoader,clip_vision_h.safetensors,已处理,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/clip_vision/clip_vision_h.safetensors,https://hf-mirror.com/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/clip_vision/clip_vision_h.safetensors,
9,56,LoadWanVideoClipTextEncoder,open-clip-xlm-roberta-large-vit-huge-14_visual_fp16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors,
10,56,LoadWanVideoClipTextEncoder,open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/open-clip-xlm-roberta-large-vit-huge-14_visual_fp32.safetensors,
11,11,LoadWanVideoT5TextEncoder,umt5-xxl-enc-bf16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/umt5-xxl-enc-bf16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/umt5-xxl-enc-bf16.safetensors,
12,48,CLIPLoader,umt5_xxl_fp16.safetensors,已处理,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/text_encoders/umt5_xxl_fp16.safetensors,https://hf-mirror.com/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/text_encoders/umt5_xxl_fp16.safetensors,
13,22,WanVideoModelLoader,vace_preview_fp32.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Wan2_1_VAE_fp32.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/main/Wan2_1_VAE_fp32.safetensors,
14,98,WanVideoLoraSelect,wan2.1-1.3b-control-lora-tile-v0.1_comfy.safetensors,已处理,https://huggingface.co/spacepxl/Wan2.1-control-loras,https://hf-mirror.com/spacepxl/Wan2.1-control-loras,
15,22,WanVideoModelLoader,wan2.1_fun_control_1.3B_bf16.safetensors,已处理,https://huggingface.co/alibaba-pai/Wan2.1-Fun-1.3B-Control,https://hf-mirror.com/alibaba-pai/Wan2.1-Fun-1.3B-Control,
16,22,WanVideoModelLoader,wan2.1_t2v_1.3B_fp16.safetensors,已处理,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_t2v_1.3B_fp16.safetensors,https://hf-mirror.com/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_t2v_1.3B_fp16.safetensors,
