序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,305,LoraLoader,F.1 | 高端大气上档次室内家具_V1,已处理,,,https://www.liblib.art/modelinfo/757cd513445744c19a3b63b55918b967?versionUuid=c6dcd81c78ae4ae69817e4d0fcc17556
2,404,LoraLoader,F.1- 光影氛围-室内背景_V1,已处理,,,https://www.liblib.art/modelinfo/372fc7adfc00430381f6d81bee9c0a2e
3,341,UNETLoader,F.1_Depth-fp16_1.0,已处理,,,https://www.liblib.art/modelinfo/22eee084b7ae4f8b89505ecebd4b3dd5
4,307,LoraLoader,F1照片级法式室内_v1.0,已处理,,,https://www.liblib.art/modelinfo/087f6e1c10634dfb8b532e9b57fde833?versionUuid=c5b10e6ab5a14749b07b584258b6dcb5
5,376,LoraLoader,FLUX_奶油中古风家居_奶油中古风家居_v1.0,已处理,,,https://www.liblib.art/modelinfo/278dbfa17bd34a05b08f0a24425e1a9e?versionUuid=d88b19a20112438eb786e4a44487eecf
6,408,Florence2ModelLoader,Florence-2-base,已处理,https://huggingface.co/MiaoshouAI/Florence-2-base-PromptGen-v2.0,https://hf-mirror.com/MiaoshouAI/Florence-2-base-PromptGen-v2.0,
7,377,LoraLoader,QLCD-原木风奶油风室内设计Flux_温馨小户型设计宜家_v1.0,已处理,,,https://www.liblib.art/modelinfo/50e9e9ee749448cf9ea1a31975cf8dc1?versionUuid=22314c7f919549ab88864fd24ce15e47
8,260,VAELoader,ae.sft,已处理,https://huggingface.co/black-forest-labs/FLUX.1-schnell/resolve/refs%2Fpr%2F24/ae.sft,https://hf-mirror.com/black-forest-labs/FLUX.1-schnell/resolve/refs%2Fpr%2F24/ae.sft,
9,261,DualCLIPLoader,clip_l,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,
10,261,DualCLIPLoader,t5xxl_fp16,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp16.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp16.safetensors,
11,306,LoraLoader,凉一室内极致写实极简风_侘寂风照片级写实建筑_体验版,未找到(无链接),,,https://www.bing.com/search?q=site:liblib.art+%22侘寂风照片级写实建筑%22
12,262,UNETLoader,基础算法_F.1,已处理,,,https://www.liblib.art/modelinfo/488cd9d58cd4421b9e8000373d7da123
13,"269,375",LoraLoader,室内设计-极简客厅_v1.0,已处理,,,https://www.liblib.art/modelinfo/f71bc96d47c74803a3efc617a279a8a8
