序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,15,UpscaleModelLoader,2xNomosUni_span_multijpg_ldl.pth,已处理,https://huggingface.co/Phips/2xNomosUni_span_multijpg_ldl,https://hf-mirror.com/Phips/2xNomosUni_span_multijpg_ldl,
2,269,UpscaleModelLoader,4x-UltraSharp.pth,已处理,https://huggingface.co/lokCX/4x-Ultrasharp/resolve/main/4x-UltraSharp.pth,https://hf-mirror.com/lokCX/4x-Ultrasharp/resolve/main/4x-UltraSharp.pth,
3,388,UpscaleModelLoader,4x_NMKD-Siax_200k.pth,已处理,https://huggingface.co/uwg/upscaler/resolve/main/ESRGAN/4x_NMKD-Siax_200k.pth,https://hf-mirror.com/uwg/upscaler/resolve/main/ESRGAN/4x_NMKD-Siax_200k.pth,
4,137,Note,"According to the original code, prompts should start with FPS-24",已处理,https://huggingface.co/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,https://hf-mirror.com/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,
5,30,ImageOnlyCheckpointLoader,AnimateLCM-SVD-xt-1-1_fp16_comfy.safetensors,已处理,https://huggingface.co/Kijai/AnimateLCM-SVD-Comfy/tree/main,https://hf-mirror.com/Kijai/AnimateLCM-SVD-Comfy/tree/main,
6,136,Note,"At this stage I have no idea what's a good negative prompt for the model, please experiment or leave it empty.",已处理,https://huggingface.co/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,https://hf-mirror.com/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/main/skyreels_hunyuan_I2V_native_example_01.json,
7,16,ESAM_ModelLoader_Zho,CUDA,已处理,https://huggingface.co/blog/zh/quanto-introduction,https://hf-mirror.com/blog/zh/quanto-introduction,
8,37,UNETLoader,Cosmos-1_0-Diffusion-7B-Text2World.safetensors,已处理,https://huggingface.co/mcmonkey/cosmos-1.0/resolve/main/Cosmos-1_0-Diffusion-7B-Text2World.safetensors,https://hf-mirror.com/mcmonkey/cosmos-1.0/resolve/main/Cosmos-1_0-Diffusion-7B-Text2World.safetensors,
9,34,DynamiCrafterModelLoader,DynamiCrafter_1024.ckpt,已处理,https://huggingface.co/Doubiiu/DynamiCrafter_1024/resolve/main/model.ckpt,https://hf-mirror.com/Doubiiu/DynamiCrafter_1024/resolve/main/model.ckpt,
10,52,UpscaleModelLoader,ESRGAN_4x.pth,已处理,https://huggingface.co/ffxvs/upscaler/resolve/f8edf6d7f286acdd70178a6ff0c736fc592e818e/ESRGAN_4x.pth,https://hf-mirror.com/ffxvs/upscaler/resolve/f8edf6d7f286acdd70178a6ff0c736fc592e818e/ESRGAN_4x.pth,
11,70,Note,"Enhance a video weight should be relative to the video lenght, if you get noisy results it's too strong",未找到,,,"https://www.bing.com/search?q=site:huggingface.co+%22Enhance+a+video+weight+should+be+relative+to+the+video+lenght,+if+you+get+noisy+results+it's+too+strong%22"
12,82,IPAdapterUnifiedLoaderFaceID,FACEID PORTRAIT (style transfer),已处理,https://huggingface.co/h94/IP-Adapter-FaceID,https://hf-mirror.com/h94/IP-Adapter-FaceID,
13,2,UNETLoader,Flex.2-preview.safetensors,已处理,https://huggingface.co/ostris/Flex.2-preview/resolve/main/Flex.2-preview.safetensors,https://hf-mirror.com/ostris/Flex.2-preview/resolve/main/Flex.2-preview.safetensors,
